N = 10000  tau = 0.005
k = 3;   1.748348, 1.598899, 1.499608, 1.427106, 1.379204, 1.325086, 1.284082, 1.208013, 1.107345, 1.022165, 0.949153, 0.885876, 0.830509, 0.781656, 0.738230,
k = 7;   1.901015, 1.721501, 1.602406, 1.514267, 1.457134, 1.392669, 1.328872, 1.208066, 1.107394, 1.022209, 0.949194, 0.885915, 0.830545, 0.781690, 0.738262,
k = 15;   2.040027, 1.832758, 1.692301, 1.592517, 1.500304, 1.442332, 1.328988, 1.208171, 1.107490, 1.022298, 0.949277, 0.885992, 0.830617, 0.781758, 0.738327,
k = 20;   2.091640, 1.873324, 1.728527, 1.631335, 1.529499, 1.476733, 1.329060, 1.208236, 1.107550, 1.022354, 0.949329, 0.886040, 0.830663, 0.781800, 0.738367,
N = 15000  tau = 0.003
k = 3;   1.743376, 1.594337, 1.496520, 1.426553, 1.374051, 1.328054, 1.312679, 1.199253, 1.108507, 1.067151, 0.990926, 0.924864, 0.867060, 0.816057, 0.770720,
k = 10;   1.961575, 1.768179, 1.638276, 1.543741, 1.471132, 1.445850, 1.319304, 1.199367, 1.147503, 1.067203, 0.990974, 0.924909, 0.867102, 0.816096, 0.770758,
           tau = 0.05
k = 3;   1.747129, 1.597925, 1.497266, 1.423739, 1.373383, 1.322957, 1.305584, 1.247931, 1.143936, 1.064562, 0.990926, 0.924864, 0.867060, 0.816057, 0.770720,
k = 10;   1.967507, 1.773356, 1.645476, 1.551570, 1.481482, 1.436763, 1.372906, 1.248097, 1.152549, 1.067203, 0.990974, 0.924909, 0.867102, 0.816096, 0.770758,
k = 20;   2.099602, 1.877676, 1.727321, 1.613338, 1.522248, 1.523605, 1.373168, 1.252017, 1.156217, 1.067277, 0.991043, 0.924973, 0.867162, 0.816153, 0.770811,
n = 10000  tau = 0.005
k = 25;   2.133381, 1.907166, 1.758767, 1.655420, 1.557619, 1.476814, 1.329132, 1.208302, 1.107610, 1.022410, 0.949380, 0.886088, 0.830708, 0.781843, 0.738407, 
k = 30;   2.167142, 1.932938, 1.773984, 1.674198, 1.572855, 1.476894, 1.329205, 1.208368, 1.107671, 1.022465, 0.949432, 0.886136, 0.830753, 0.781885, 0.738447, 
k = 40;   2.219543, 1.978645, 1.817185, 1.698074, 1.593957, 1.477055, 1.329349, 1.208500, 1.107791, 1.022577, 0.949535, 0.886233, 0.830843, 0.781970, 0.738527, 
k = 80;   2.349282, 2.079391, 1.906379, 1.747364, 1.662413, 1.477700, 1.329930, 1.209027, 1.108275, 1.023023, 0.949950, 0.886620, 0.831206, 0.782312, 0.738850, 
